Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,subject_area,Percentile,RANK,Rank Out Of,Publisher,Open Access,Quartile,URL Scopus Source ID,Print ISSN,E-ISSN,Index,Publisher2,Percentile2,Open Access2,user_index,user_publisher,user_percentile,user_open_access
"Law, Innovation and Technology",106,43,55.8,2.5,1.839,0.4920000000000001,Computer Science (miscellaneous),60.0,26.0,64.0,Taylor & Francis,NO,2.0,https://www.scopus.com/sourceid/21100824892,1757-9961,1757-997X,Scopus,Taylor and Francis,200.0,No,1.0,0.625,0.75,0.5
World Journal on Educational Technology: Current Issues,11,13,46.2,0.8,,,Computer Science (miscellaneous),27.0,47.0,64.0,Science Park Research Organization & Counselling,YES,3.0,https://www.scopus.com/sourceid/21100925870,1309-1506,1309-0348,Scopus,Others,300.0,Yes,1.0,0.125,0.5,1.0
Machines,597,188,67.6,3.2,1.237,0.421,Computer Science (miscellaneous),71.0,19.0,64.0,Multidisciplinary Digital Publishing Institute (MDPI),YES,2.0,https://www.scopus.com/sourceid/21100838145,,2075-1702,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
Indonesian Journal of Electrical Engineering and Informatics,215,181,43.6,1.2,0.529,0.189,Computer Science (miscellaneous),38.0,40.0,64.0,Institute of Advanced Engineering and Science (IAES),NO,3.0,https://www.scopus.com/sourceid/21100826383,,2089-3272,Scopus,Others,300.0,No,1.0,0.125,0.5,0.5
Karbala International Journal of Modern Science,499,139,64.7,3.6,1.27,0.334,Computer Science (miscellaneous),75.0,16.0,64.0,University of Kerbala,YES,1.0,https://www.scopus.com/sourceid/21100897136,2405-609X,2405-6103,Scopus,Others,100.0,Yes,1.0,0.125,1.0,1.0
IEEE Transactions on Emerging Topics in Computing,1555,183,86.3,8.5,1.764,0.807,Computer Science (miscellaneous),92.0,5.0,64.0,IEEE,NO,1.0,https://www.scopus.com/sourceid/21100338508,2168-6750,,Scopus & SCIEISI,IEEE,100.0,No,0.5,0.75,1.0,0.5
International Journal of Information Technology and Decision Making,1105,245,68.2,4.5,0.966,0.5329999999999999,Computer Science (miscellaneous),86.0,9.0,64.0,World Scientific,NO,1.0,https://www.scopus.com/sourceid/4700152646,0219-6220,,Scopus & SCIEISI,Others,100.0,No,0.5,0.125,1.0,0.5
Acta Cybernetica,59,77,35.1,0.8,0.607,0.16399999999999998,Computer Science (miscellaneous),22.0,50.0,64.0,"University of Szeged, Institute of Informatics",YES,4.0,https://www.scopus.com/sourceid/13024,0324-721X,,Scopus,Others,400.0,Yes,1.0,0.125,0.25,1.0
Journal of Systems Science and Complexity,771,380,57.9,2.0,0.6859999999999999,0.316,Computer Science (miscellaneous),53.0,30.0,64.0,Springer Nature,NO,2.0,https://www.scopus.com/sourceid/4900152803,1009-6124,,Scopus,Springer,200.0,No,1.0,1.0,0.75,0.5
International Journal of Cloud Computing,38,59,25.4,0.6,0.228,0.149,Computer Science (miscellaneous),16.0,54.0,64.0,Inderscience,NO,4.0,https://www.scopus.com/sourceid/21100855995,2043-9989,2043-9997,Scopus,Inderscience,400.0,No,1.0,0.5,0.25,0.5
Geomatics and Environmental Engineering,2,28,7.1,0.1,,,Computer Science (miscellaneous),3.0,62.0,64.0,AGH University of Science and Technology Press,NO,4.0,https://www.scopus.com/sourceid/21100940509,1898-1135,2300-7095,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
ACM Transactions on Economics and Computation,135,77,51.9,1.8,0.8029999999999999,0.4320000000000001,Computer Science (miscellaneous),48.0,33.0,64.0,Association for Computing Machinery (ACM),NO,3.0,https://www.scopus.com/sourceid/21100853526,2167-8375,2167-8383,Scopus,ACM,300.0,No,1.0,0.25,0.5,0.5
IEEE/ACM Transactions on Audio Speech and Language Processing,6992,756,84.1,9.2,2.489,1.335,Computer Science (miscellaneous),96.0,3.0,64.0,IEEE,NO,1.0,https://www.scopus.com/sourceid/21100368801,2329-9290,2329-9304,Scopus,IEEE,100.0,No,1.0,0.75,1.0,0.5
International Journal of Computing,286,97,63.9,2.9,1.254,0.198,Computer Science (miscellaneous),66.0,22.0,64.0,Research Institute of Intelligent Computer Systems,NO,2.0,https://www.scopus.com/sourceid/21100820054,1727-6209,2312-5381,Scopus,Others,200.0,No,1.0,0.125,0.75,0.5
Open Bioinformatics Journal,18,23,34.8,0.8,0.243,0.32299999999999995,Computer Science (miscellaneous),24.0,49.0,64.0,Bentham,YES,4.0,https://www.scopus.com/sourceid/19700201613,1875-0362,,Scopus,Others,400.0,Yes,1.0,0.125,0.25,1.0
Journal of Internet Services and Information Security,6,19,26.3,0.3,,,Computer Science (miscellaneous),8.0,59.0,64.0,Innovative Information Science and Technology Research Group,NO,4.0,https://www.scopus.com/sourceid/21100935071,2182-2069,2182-2077,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
International Journal of Advanced Trends in Computer Science and Engineering,1113,946,38.5,1.2,0.0,0.129,Computer Science (miscellaneous),36.0,41.0,64.0,World Academy of Research in Science and Engineering,NO,3.0,https://www.scopus.com/sourceid/21100896268,,2278-3091,Scopus,Others,300.0,No,1.0,0.125,0.5,0.5
"Proceedings of International Conference of the Learning Sciences, ICLS",508,738,28.7,0.7,,,Computer Science (miscellaneous),19.0,52.0,64.0,"proceedings of international conference of the learning sciences, icls",NO,4.0,https://www.scopus.com/sourceid/21100400012,1814-9316,,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
Journal of Medical Signals and Sensors,258,126,50.8,2.0,0.657,0.258,Computer Science (miscellaneous),55.0,29.0,64.0,Wolters Kluwer Health,YES,2.0,https://www.scopus.com/sourceid/21100818504,,2228-7477,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
Interactive Technology and Smart Education,203,92,69.6,2.2,1.383,0.451,Computer Science (miscellaneous),57.0,28.0,64.0,Emerald,NO,2.0,https://www.scopus.com/sourceid/21100385802,1741-5659,1758-8510,Scopus,Others,200.0,No,1.0,0.125,0.75,0.5
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,239,75,62.7,3.2,1.249,0.593,Computer Science (miscellaneous),72.0,18.0,64.0,ACM,NO,2.0,https://www.scopus.com/sourceid/21100934924,2376-3639,2376-3647,Scopus,ACM,200.0,No,1.0,0.25,0.75,0.5
Journal of Reliable Intelligent Environments,196,62,74.2,3.2,1.093,0.441,Computer Science (miscellaneous),69.0,20.0,64.0,Springer Nature,NO,2.0,https://www.scopus.com/sourceid/21100901156,2199-4668,2199-4676,Scopus,Springer,200.0,No,1.0,1.0,0.75,0.5
"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",263,71,76.1,3.7,1.594,0.442,Computer Science (miscellaneous),77.0,15.0,64.0,Innovative Information Science & Technology Research Group (ISYOU),NO,1.0,https://www.scopus.com/sourceid/21100262490,2093-5374,2093-5382,Scopus,Others,100.0,No,1.0,0.125,1.0,0.5
ACM SIGBED Review,22,33,27.3,0.7,0.298,0.183,Computer Science (miscellaneous),17.0,53.0,64.0,ACM,NO,4.0,https://www.scopus.com/sourceid/21100900336,,1551-3688,Scopus,ACM,400.0,No,1.0,0.25,0.25,0.5
ACM Transactions on Autonomous and Adaptive Systems,460,82,69.5,5.6,0.99,0.537,Computer Science (miscellaneous),88.0,8.0,64.0,ACM,NO,1.0,https://www.scopus.com/sourceid/4800153205,1556-4665,1556-4703,Scopus & SCIEISI,ACM,100.0,No,0.5,0.25,1.0,0.5
npj Quantum Information,1996,223,78.5,9.0,2.424,4.098,Computer Science (miscellaneous),94.0,4.0,64.0,Springer Nature,YES,1.0,https://www.scopus.com/sourceid/21100827946,,2056-6387,Scopus,Springer,100.0,Yes,1.0,1.0,1.0,1.0
Scientia Iranica,1625,1105,48.8,1.5,0.459,0.255,Computer Science (miscellaneous),42.0,37.0,64.0,Sharif University of Technology,YES,3.0,https://www.scopus.com/sourceid/24196,1026-3098,,Scopus,Others,300.0,Yes,1.0,0.125,0.5,1.0
Computer Science,43,72,34.7,0.6,0.467,0.125,Computer Science (miscellaneous),13.0,56.0,64.0,AGH University of Science and Technology,YES,4.0,https://www.scopus.com/sourceid/21100826268,1508-2806,2300-7036,Scopus,Others,400.0,Yes,1.0,0.125,0.25,1.0
Foundations and Trends in Information Retrieval,232,14,92.9,16.6,7.426,1.474,Computer Science (miscellaneous),99.0,1.0,64.0,Now Publishers Inc.,NO,1.0,https://www.scopus.com/sourceid/5100155071,1554-0669,1554-0677,Scopus & SCIEISI,Others,100.0,No,0.5,0.125,1.0,0.5
Journal of Information Technology Education: Innovations in Practice,86,43,62.8,2.0,0.792,0.292,Computer Science (miscellaneous),52.0,31.0,64.0,Informing Science Institute,YES,2.0,https://www.scopus.com/sourceid/21100448516,2165-3151,2165-316X,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
Internet Histories,59,57,47.4,1.0,0.486,0.425,Computer Science (miscellaneous),32.0,44.0,64.0,Taylor & Francis,NO,3.0,https://www.scopus.com/sourceid/21100917113,2470-1475,2470-1483,Scopus,Taylor and Francis,300.0,No,1.0,0.625,0.5,0.5
Journal of Geomatics,117,623,10.1,0.2,0.11,0.111,Computer Science (miscellaneous),5.0,61.0,64.0,Wuhan Cehui Keji Daxue/Wuhan Technical University of Surveying and Mapping,NO,4.0,https://www.scopus.com/sourceid/144674,2095-6045,,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
International Journal of Computational Methods,956,367,65.4,2.6,0.909,0.557,Computer Science (miscellaneous),64.0,23.0,64.0,World Scientific,NO,2.0,https://www.scopus.com/sourceid/4900152403,0219-8762,,Scopus,Others,200.0,No,1.0,0.125,0.75,0.5
Journal of Computer Virology and Hacking Techniques,354,87,78.2,4.1,1.474,0.439,Computer Science (miscellaneous),80.0,13.0,64.0,Springer Nature,NO,1.0,https://www.scopus.com/sourceid/21100405702,2274-2042,2263-8733,Scopus,Springer,100.0,No,1.0,1.0,1.0,0.5
Kybernetes,1248,486,59.1,2.6,1.101,0.376,Computer Science (miscellaneous),63.0,24.0,64.0,Emerald,NO,2.0,https://www.scopus.com/sourceid/12981,0368-492X,,Scopus & SCIEISI,Others,200.0,No,0.5,0.125,0.75,0.5
Data Science Journal,279,156,53.8,1.8,0.918,0.309,Computer Science (miscellaneous),50.0,32.0,64.0,Ubiquity Press,YES,2.0,https://www.scopus.com/sourceid/4700152809,1683-1470,,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
"Revista de Internet, Derecho y Politica",0,21,0.0,0.0,,,Computer Science (miscellaneous),0.0,64.0,64.0,Universitat Oberta de Catalunya,NO,4.0,https://www.scopus.com/sourceid/21100942928,,1699-8154,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
International Journal of Agile Systems and Management,209,69,60.9,3.0,0.688,0.339,Computer Science (miscellaneous),67.0,21.0,64.0,Inderscience,NO,2.0,https://www.scopus.com/sourceid/21100394266,1741-9174,1741-9182,Scopus,Inderscience,200.0,No,1.0,0.5,0.75,0.5
Journal of Medical Ethics and History of Medicine,95,61,44.3,1.6,0.72,0.225,Computer Science (miscellaneous),44.0,36.0,64.0,Tehran University of Medical Sciences,NO,3.0,https://www.scopus.com/sourceid/19700187808,2008-0387,,Scopus,Others,300.0,No,1.0,0.125,0.5,0.5
Chongqing Daxue Xuebao/Journal of Chongqing University,250,519,27.2,0.5,0.305,0.18,Computer Science (miscellaneous),11.0,57.0,64.0,Chinese Electronic Periodical Services,NO,4.0,https://www.scopus.com/sourceid/17700155307,1000-582X,,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
International Journal of Foundations of Computer Science,278,249,43.8,1.1,0.894,0.334,Computer Science (miscellaneous),35.0,42.0,64.0,World Scientific,NO,3.0,https://www.scopus.com/sourceid/4700152641,0129-0541,,Scopus & SCIEISI,Others,300.0,No,0.5,0.125,0.5,0.5
"Journal of Logic, Language and Information",74,57,47.4,1.3,0.731,0.446,Computer Science (miscellaneous),41.0,38.0,64.0,Springer Nature,NO,3.0,https://www.scopus.com/sourceid/145095,0925-8531,,Scopus & SCIEISI,Springer,300.0,No,0.5,1.0,0.5,0.5
International Journal of Applied Mathematics and Computer Science,767,238,71.0,3.2,0.927,0.343,Computer Science (miscellaneous),74.0,17.0,64.0,Walter de Gruyter,YES,2.0,https://www.scopus.com/sourceid/4500151509,1641-876X,,Scopus & SCIEISI,Others,200.0,Yes,0.5,0.125,0.75,1.0
Ocean Modelling,2525,393,80.4,6.4,1.452,1.709,Computer Science (miscellaneous),89.0,7.0,64.0,Elsevier,NO,1.0,https://www.scopus.com/sourceid/28352,1463-5003,1463-5011,Scopus,Elsevier,100.0,No,1.0,0.875,1.0,0.5
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,139,357,24.9,0.4,0.18,0.161,Computer Science (miscellaneous),10.0,58.0,64.0,Shenzhen University,NO,4.0,https://www.scopus.com/sourceid/4700152467,1000-2618,,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
International Journal of Prognostics and Health Management,184,79,57.0,2.3,0.66,0.34,Computer Science (miscellaneous),58.0,27.0,64.0,PHM Society,YES,2.0,https://www.scopus.com/sourceid/21100283367,2153-2648,,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
EAI Endorsed Transactions on Pervasive Health and Technology,10,34,8.8,0.3,0.08800000000000001,0.134,Computer Science (miscellaneous),7.0,60.0,64.0,European Alliance for Innovation,YES,4.0,https://www.scopus.com/sourceid/21100904323,,2411-7145,Scopus,Others,400.0,Yes,1.0,0.125,0.25,1.0
JASSS,725,178,64.6,4.1,1.28,0.77,Computer Science (miscellaneous),82.0,12.0,64.0,University of Surrey,YES,1.0,https://www.scopus.com/sourceid/15591,1460-7425,,Scopus,Others,100.0,Yes,1.0,0.125,1.0,1.0
Symmetry,6742,2668,56.6,2.5,1.069,0.365,Computer Science (miscellaneous),61.0,25.0,64.0,Multidisciplinary Digital Publishing Institute (MDPI),YES,2.0,https://www.scopus.com/sourceid/21100201542,2073-8994,,Scopus,Others,200.0,Yes,1.0,0.125,0.75,1.0
Jusletter IT,18,356,3.7,0.1,0.071,0.121,Computer Science (miscellaneous),2.0,63.0,64.0,Weblaw AG,NO,4.0,https://www.scopus.com/sourceid/21100842538,,1664-848X,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,1094,1147,43.6,1.0,0.616,0.295,Computer Science (miscellaneous),30.0,45.0,64.0,Wuhan Cehui Keji Daxue/Wuhan Technical University of Surveying and Mapping,NO,3.0,https://www.scopus.com/sourceid/27930,1000050X 16718860,,Scopus,Others,300.0,No,1.0,0.125,0.5,0.5
International Journal of Mathematics and Computer Science,65,103,32.0,0.6,0.971,0.181,Computer Science (miscellaneous),14.0,55.0,64.0,Badih Ghusayni,NO,4.0,https://www.scopus.com/sourceid/21100854726,1814-0424,1814-0432,Scopus,Others,400.0,No,1.0,0.125,0.25,0.5
Journal of Cybersecurity,217,51,70.6,4.3,1.804,0.655,Computer Science (miscellaneous),85.0,10.0,64.0,Oxford University Press,YES,1.0,https://www.scopus.com/sourceid/21100855505,,2057-2093,Scopus,Others,100.0,Yes,1.0,0.125,1.0,1.0
TEM Journal,309,444,35.4,0.7,0.5870000000000001,0.16699999999999998,Computer Science (miscellaneous),21.0,51.0,64.0,UIKTEN - Association for Information Communication Technology Education and Science,YES,4.0,https://www.scopus.com/sourceid/21100831441,2217-8309,2217-8333,Scopus,Others,400.0,Yes,1.0,0.125,0.25,1.0
Journal of Formalized Reasoning,89,21,61.9,4.2,1.347,0.534,Computer Science (miscellaneous),83.0,11.0,64.0,Alma Mater Studiorum (Bologna),YES,1.0,https://www.scopus.com/sourceid/21100262198,1972-5787,,Scopus,Others,100.0,Yes,1.0,0.125,1.0,1.0
Annual Review of CyberTherapy and Telemedicine,81,103,38.8,0.8,0.196,0.157,Computer Science (miscellaneous),25.0,48.0,64.0,The Interactive Media Institute (IMI),YES,3.0,https://www.scopus.com/sourceid/19700174668,1554-8716,,Scopus,Others,300.0,Yes,1.0,0.125,0.5,1.0
International Journal of Human Capital and Information Technology Professionals,135,80,53.8,1.7,0.633,0.173,Computer Science (miscellaneous),46.0,35.0,64.0,IGI Global Publishing,NO,3.0,https://www.scopus.com/sourceid/21100223336,1947-3478,1947-3486,Scopus,IGI Global,300.0,No,1.0,0.375,0.5,0.5
Software-Intensive Cyber-Physical Systems,480,128,66.4,3.8,0.815,0.4370000000000001,Computer Science (miscellaneous),78.0,14.0,64.0,Springer Nature,NO,1.0,https://www.scopus.com/sourceid/21100906916,2524-8510,2524-8529,Scopus,Springer,100.0,No,1.0,1.0,1.0,0.5
Bulletin of Electrical Engineering and Informatics,390,312,44.2,1.3,1.358,0.231,Computer Science (miscellaneous),39.0,39.0,64.0,Institute of Advanced Engineering and Science (IAES),NO,3.0,https://www.scopus.com/sourceid/21100826382,2089-3191,2302-9285,Scopus,Others,300.0,No,1.0,0.125,0.5,0.5
